2025-11-10 12:11:47,425 - INFO - Starting video scraping process
2025-11-10 12:11:47,426 - INFO - Fetching XML data from: https://www.minetegn.no/tegnordbok/xml/tegnordbok.php
2025-11-10 12:11:48,383 - INFO - XML data fetched successfully. Size: 1103933 bytes
2025-11-10 12:11:48,440 - INFO - Found 10171 video filenames
2025-11-10 12:11:48,441 - INFO - Starting parallel download of 10171 videos using 8 workers
2025-11-10 12:12:42,476 - INFO - Downloaded alminnelig.mp4 (332,582 bytes)
2025-11-10 12:12:42,478 - INFO - Downloaded alltid.mp4 (426,865 bytes)
2025-11-10 12:12:42,716 - INFO - Downloaded alta.mp4 (240,212 bytes)
2025-11-10 12:12:43,334 - INFO - Downloaded alternativ-2.mp4 (272,079 bytes)
2025-11-10 12:12:43,557 - INFO - Downloaded alternativ.mp4 (283,512 bytes)
2025-11-10 12:12:43,642 - INFO - Downloaded altan.mp4 (397,388 bytes)
2025-11-10 12:12:43,972 - INFO - Downloaded M2_44119_44394.mp4 (1,858,686 bytes)
2025-11-10 12:12:44,004 - INFO - Downloaded altsaa-1.mp4 (393,845 bytes)
2025-11-10 12:12:44,005 - INFO - Downloaded alvorlig.mp4 (269,132 bytes)
2025-11-10 12:12:44,077 - INFO - Downloaded altsaa-2.mp4 (316,851 bytes)
2025-11-10 12:12:44,146 - INFO - Downloaded aluminium.mp4 (336,477 bytes)
2025-11-10 12:12:44,312 - INFO - Downloaded amatoer.mp4 (288,649 bytes)
2025-11-10 12:12:44,736 - INFO - Downloaded ambassadoer.mp4 (348,818 bytes)
2025-11-10 12:12:44,911 - INFO - Downloaded ambisjon.mp4 (363,925 bytes)
2025-11-10 12:12:45,432 - INFO - Downloaded ambulanse.mp4 (353,319 bytes)
2025-11-10 12:12:45,535 - INFO - Downloaded ambulanse-2.mp4 (319,187 bytes)
2025-11-10 12:12:45,573 - INFO - Downloaded ambulanse-3.mp4 (337,998 bytes)
2025-11-10 12:12:45,621 - INFO - Downloaded ambivalent.mp4 (318,952 bytes)
2025-11-10 12:12:45,706 - INFO - Downloaded amen.mp4 (347,377 bytes)
2025-11-10 12:12:45,936 - INFO - Downloaded americano.mp4 (279,205 bytes)
2025-11-10 12:12:46,042 - INFO - Downloaded amerika-1.mp4 (454,959 bytes)
2025-11-10 12:12:46,614 - INFO - Downloaded amerikansk.mp4 (305,591 bytes)
2025-11-10 12:12:46,719 - INFO - Downloaded amfetamin.mp4 (339,423 bytes)
2025-11-10 12:12:46,816 - INFO - Downloaded amme.mp4 (304,291 bytes)
2025-11-10 12:12:46,817 - INFO - Downloaded amerikaner.mp4 (336,020 bytes)
2025-11-10 12:12:47,074 - INFO - Downloaded ampere.mp4 (353,126 bytes)
2025-11-10 12:12:47,149 - INFO - Downloaded amerika-2.mp4 (422,443 bytes)
2025-11-10 12:12:47,280 - INFO - Downloaded ampere-2.mp4 (285,391 bytes)
2025-11-10 12:12:47,339 - INFO - Downloaded amputere.mp4 (317,291 bytes)
2025-11-10 12:12:47,561 - INFO - Downloaded analog-2.mp4 (149,457 bytes)
2025-11-10 12:12:47,688 - INFO - Downloaded ananas.mp4 (190,053 bytes)
2025-11-10 12:12:47,874 - INFO - Downloaded analyse.mp4 (395,193 bytes)
2025-11-10 12:12:48,163 - INFO - Downloaded ananas-2.mp4 (275,654 bytes)
