Filename,Gloss,Description,Comment
avhengig-personlighetsforstyrrelse.mp4,avhengig personlighetsforstyrrelse,,
avhoer-1.mp4,avhør 1,,
avhoer-2.mp4,avhør 2,,
avhoere-ing-1.mp4,avhøre/-ing 1,,
avhoere-ing-2.mp4,avhøre/-ing 2,,
avis.mp4,avis,,
avkom.mp4,avkom,,
avlat.mp4,avlat,,
avlyst.mp4,avlyst,,
avokado-1.mp4,avokado 1,,
avokado-2.mp4,avokado 2,,
avrunde.mp4,avrunde,,
avskjedige-lse.mp4,avskjedige/-lse,,
avsky-elig.mp4,avsky/-elig,,
avslaa.mp4,avslå,,
avslag.mp4,avslag,,
avslappende-1.mp4,avslappende 1,,
avslappende-2.mp4,avslappende 2,,
avsloere-1.mp4,avsløre 1,,
avsloere-2.mp4,avsløre 2,,
avslutning.mp4,avslutning,,
avsnitt-1.mp4,avsnitt 1,,
avsnitt-2.mp4,avsnitt 2,,
avstand-1.mp4,avstand 1,,
avstand-2.mp4,avstand 2,,
avstand-3.mp4,avstand 3,,
avsted.mp4,avsted,,
avstemning.mp4,avstemning,,
avsug-2.mp4,avsug 1,,
avsug-3.mp4,avsug 2,,
avtale.mp4,avtale,,
avverge.mp4,avverge,,
avvik.mp4,avvik 1,,
avvik-2.mp4,avvik 2,,
avvise.mp4,avvise,,
aya-vers-koranen-1.mp4,aya (vers i koranen),,
B.mp4,B,,
B-2.mp4,B (tohåndsalfabetet) 1,"Tohåndsalfabetet brukes særlig på Østlandet, men man ser at enhåndsalfabetet i større grad tar over også på østlandet (Kilde: Språkrådet).",
B-2-2.mp4,B (tohåndsalfabetet) 2,"Tohåndsalfabetet brukes særlig på Østlandet, men man ser at enhåndsalfabetet i større grad tar over også på østlandet (Kilde: Språkrådet).",
baby.mp4,baby,,
bachelor.mp4,bachelor,,
back.mp4,back,,
backendutvikler.mp4,backendutvikler,,
backhand.mp4,backhand,,
bacon.mp4,bacon,,
bad.mp4,bad (baderom),Ordbilde /baderom/,
bad-2.mp4,bad 2,,
bade.mp4,bade,,
baade-1.mp4,både 1,,
baade-2.mp4,både 2,,
badeball.mp4,badeball,,
badebukse.mp4,badebukse,,
badedrakt-1.mp4,badedrakt 1,,
badedrakt-2.mp4,badedrakt 2,,
badedyr.mp4,badedyr,,
badehette.mp4,badehette,,
badekar.mp4,badekar,,
badering.mp4,badering,,
badestrand.mp4,badestrand,,
badetoey.mp4,badetøy,,
badminton.mp4,badminton,,
badstu.mp4,badstu 1,,
badstu-2.mp4,badstu 2,,
bagasje.mp4,bagasje,,
bajonettsag-1.mp4,bajonettsag (verktøy) 1,,
bajonettsag-2.mp4,bajonettsag (verktøy) 2,,
bajonettsag-4.mp4,bajonettsag (verktøy) 3,,
bak-bakom-1.mp4,bak (bakom) 1,,
bak-bakom-2.mp4,bak (bakom) 2,,
bak-etter.mp4,bak (etter),,
bak-gaa-bak.mp4,bak: gå bak,,
bakaksel.mp4,bakaksel,,
bake.mp4,bake,,
bakepulver.mp4,bakepulver,,
baker.mp4,baker,,
bakers-system.mp4,bakers system (bowling),,
bakgrunn.mp4,bakgrunn,,
bakhjulsdrift.mp4,bakhjulsdrift ,,
bakke.mp4,bakke,,
bakkerekord.mp4,bakkerekord,,
baklinje.mp4,baklinje,,
baklys.mp4,baklys,,
bakterie.mp4,bakterie 1,,
bakterie-2.mp4,bakterie 2,,
baal-1.mp4,bål 1,,
baal-2.mp4,bål 2,,
baal-3.mp4,bål 3,,
balalaika.mp4,balalaika,,
balanse-1.mp4,balanse (balanseorgan),,
balanse-2.mp4,balanse (likevekt),,
balanse-3.mp4,balanse/-re,,
