Gloss,Signwriting,modified
måle,M565x544S30c00482x483S10011533x514S2880a543x502,måle
måle,M516x522S15a0a485x501S10011487x492S2880a494x479,måle
måler,M515x522S10011485x492S2880a493x478,måler
måne,M530x512S10021500x490S2e30a470x489,måne
måne,M564x525S36d00479x521S22100513x491S22104513x502S2890c530x485S1eb20540x474,måne
n 2,M530x523S11953470x477S2a208485x494S11500515x493,n
natt,M543x521S36d00479x505S28903503x494S2891b473x494S15a00531x478S15a00458x478,natt
natur,M526x514S15a50475x487S29906494x491,natur
natur,M511x521S20330489x480S20350496x486S21100496x507,natur
naturfag,M523x541S20330486x460S20350492x466S21100491x483S15a02496x528S15a06477x529S20f00486x513,naturfag
naturlig,M511x520S21100495x506S20330489x480S20350496x486,naturlig
naturvern,M531x548S15a50483x453S29906499x460S15a00491x521S15a00470x521S2d500475x508,naturvern
naturvern,M529x544S14c50471x457S29906497x468S15a00471x517S15a00497x517S2d500479x504,naturvern
nett,M543x524S14c01495x476S14c09479x476S20e00494x500S22b05519x500S22b13458x499,nett
newtonmeter,M514x537S15a36487x464S11550492x466S18d50494x512,newtonmeter
nitrogengass,M529x526S11953472x475S2a208482x496S11500514x496,nitrogengass
nord,M521x530S36d00479x515S15a10502x503S25e00500x469,nord
null punkt,M514x533S17600490x467S15a12487x506S10018497x503,null punkt
nær,M514x522S15a02487x479S15a02487x510S26500496x493,nær
nærkrefter,M516x539S15a06489x461S15a02484x490S26500493x474S20310490x524S2f920493x512,nærkrefter
nøyaktig,M514x539S15a40490x512S15a36487x487S21100490x494S26600489x462,nøyaktig
nøyaktighet,M520x543S15a40488x457S15a16481x531S2f900489x489S22b04486x497S21100506x511S26500506x495,nøyaktighet
nøytral,M514x529S15a02487x472S15a06487x501S22c04492x487,nøytral
nøytral,M531x514S15a00477x487S15a02469x494S26606501x491,nøytral
o 2,M526x524S17610474x477S2df00489x489S11500511x494,o
o 3,M534x519S17610467x481S2df00487x490S11e00511x489,o
observere,M518x564S32403482x483S26a01472x522S10e00490x534,observere
omh,M515x518S1000a485x503S16d12490x483,omh
omh lov,M522x542S1000a486x479S16d12493x458S20b00492x521S15a40510x515S15a18478x513,omh lov
ohm motstanda,M538x541S1000a469x479S16d12474x459S15a02480x521S15a48463x514S20500511x521S26502523x519,ohm motstanda
oksid,M526x537S34400482x483S17610510x521,oksid
ohm,M522x542S1000a486x479S16d12493x458S20b00492x521S15a40510x515S15a18478x513,ohm
ohm,M515x518S1000a485x503S16d12490x483,ohm
ohm lov,M522x542S1000a486x479S16d12493x458S20b00492x521S15a40510x515S15a18478x513,ohm lov
foster,M522x521S36d00479x479S20300496x506S18230499x498,foster
fosterhinne,M527x525S36d00479x475S20300495x499S18230500x490S22a04514x510,fosterhinne
fot,M514x514S15a56487x502S15a50488x486,fot
fot,M509x519S16d40491x481S22a04495x504,fot
foton,M540x568S14c20488x432S17710489x547S17720487x492S26500492x469S1000a461x553S22100474x473S2c300514x541,foton
fradrag,M515x531S18227498x506S22a04494x486S15a02486x470S20e00494x470,fradrag
fregner,M547x518S33100482x483S15302488x486S26a04520x486,fregner
arrangør,M527x522S20350512x480S20350474x479S2d320484x499,arrangør
frekvens,M529x532S14c00503x501S14c08473x501S2fb00492x468S26a00502x483S26a10472x483,frekvens
fremmed,M537x560S30005482x483S15a00518x501S21200509x529S26a04509x546,fremmed
fremmed,M561x568S35d04482x483S10010516x515S27f0d540x536,fremmed
fri,M558x516S19a00504x496S19a08468x496S2fb00493x484S2df00537x489S2df18443x490,fri
fri,M558x520S19a00504x500S19a08468x500S2fb00493x488S2df00537x493S2df18443x494S2f710543x481S2f710447x483,fri
fri,M553x515S19a02503x486S19a0a477x487S2c607530x489S2c612448x490,fri
frigid,M525x616S2ff20476x483S15a46484x464S15a4e493x447S26500511x428S26510475x444S2fb01489x425S20320495x563S2990c493x584,frigid
frikjøp,M559x550S15a16478x470S1851c481x452S22a04515x450S20500516x466S19a00505x529S19a08470x530S2fb00494x518S2df10442x525S2df08538x526,frikjøp
friksjon,M525x525S15a30476x480S15a50476x498S2f900495x492S2f900495x501S2f900494x483S21100511x493S26500511x475,friksjon
friksjonskøffisient,M525x565S15a30476x441S15a50476x459S2f900495x453S2f900495x462S2f900494x444S21100511x454S26500511x436S14c0a481x542S10003495x521S20e00480x525,friksjonskøffisient
friksjonskøffisient,M525x558S15a30476x448S15a50476x466S2f900495x460S2f900495x469S2f900494x451S21100511x461S26500511x443S19b11491x538,friksjonskøffisient
friminutt,M554x547S33010479x483S19a10526x495S2e104528x519,friminutt
frisk,M542x535S36d00479x466S28810490x487S28808505x486S20e00513x507S20e00482x507S15d02515x516S15d0a466x515,frisk
frisk,M534x535S22b00507x477S22b10477x478S36d00479x465S14c02503x511S14c0a466x512,frisk
frisk,M535x544S22b00507x486S22b10477x487S36d00479x456S14c02503x520S14c0a466x521S20302520x466S20302463x467,frisk
frist,M522x523S15a36487x482S15a40489x477S21100478x509S26506494x509S2f900511x513,frist
frist,M522x523S15a36487x490S15a40489x477S21100478x509S26506494x509S2f900511x513,frist
friste,M519x514S10626481x493S21802511x487,friste
fritt fall,M514x550S19a00486x451S2df00488x475S17610492x500S22b04493x520,fritt fall
from,M523x590S20500495x568S26502508x567S26516476x567S15a10502x533S15a18485x533S2fb04492x584S30104482x477,from
from,M514x521S15a10502x494S15a18486x494S20500495x480,from
frosk,M528x550S36a00482x477S20500496x522S17700508x525S22122485x528,frosk
frosk,M595x555S36a00482x477S20500495x523S17600493x539S22100514x544S26500532x540S26504554x540S15306528x519S22120573x544,frosk
frosk,M528x514S11012501x499S2b702473x487,frosk
froskemann,M529x572S15a12480x455S22b05492x457S11511471x433S21b00502x437S21600511x446S21b00521x455S21600492x428S1ed56494x527S22a04496x557,froskemann
null,M511x515S1d510490x486,null
frukt,M538x559S33b00482x483S15317509x507S2e000517x530,frukt
frø,M519x521S20e00485x494S1851c494x506S37b06484x479S37b06484x510S22120481x484,frø
frø,M516x516S1851c491x501S21100485x493S22100486x484,frø
frøken,M550x521S33010479x483S1d410521x487S20800519x511,frøken
fugl,M545x527S30004482x483S1f450516x512S22100509x519,fugl
fuktig,M528x513S17d14473x498S17d1c505x498S22104506x488S22104482x488,fuktig
fuktig,M516x541S17716492x521S22f04491x503S22114490x493S14c30485x459,fuktig
fuktig,M508x517S17d0e493x494S22104496x484,fuktig
fuktig,M521x526S17d06480x474S17d0e506x474S22104509x501S22104481x501S22a04508x511S22a14481x511,fuktig
full,M539x511S15a12461x490S17600474x495S20e00493x491S26606509x489,full
full,M516x521S22a00494x487S18210493x506S18218484x480,full
fullbrakt,M520x587S20b00487x442S15a40489x413S15a16481x457S15a00508x560S15a00485x560S25e20493x519,fullbrakt
fylle,M515x528S22b00497x479S18210492x513S18218486x472,fylle
fyr,M575x532S36d00479x522S17720453x517S17728527x516S26511441x504S26507547x503S14c20552x467S14c28424x468,fyr
fysiologi,M537x593S36d00479x408S14c02506x417S14c0a465x417S14c40488x562S14c0a459x531S21100512x444S21100478x443S22b04510x460S22b14477x459S26600492x527S20700510x539,fysiologi
fysioterapi,M528x522S14c20505x491S14c28473x491S21800508x479S21800477x479,fysioterapi
fysioterapi,M551x545S15020504x456S15028473x455S2fb04493x494S26501523x492S26501538x492S26517465x491S26517449x492S14c20514x514S14c28472x514,fysioterapi
fysisk,M559x537S36d00479x463S14c02514x471S14c0a460x471S20e00496x477S22b24494x492S2c607516x519S2c612466x518S20300544x509S20300447x508S2f900547x502S2f900450x501,fysisk
fæl,M526x540S30004482x483S21100494x521S1f502476x516S26506511x521,fæl
føde,M531x534S2c620490x479S21100494x508S17130513x503S17138469x502S36d00479x530S36d00480x467,føde
fødsel,M531x534S2c620490x479S21100494x508S17130513x503S17138469x502S36d00479x530S36d00480x467,fødsel
føle,M522x529S15a50493x471S15a56491x483S26c0a492x501S21100478x502S21100509x515,føle
føle,M532x541S36d00479x459S14c02492x472S21100518x491S23108506x508S21100506x527,føle
følge,M518x533S10018483x503S10010492x496S26627496x468,følge
følge,M518x533S1f502503x501S1f502483x509S26620493x467,følge
følgesvenn,M519x519S1f510504x482S1f514481x482S2e752487x503,følgesvenn
føll,M527x563S15a48481x459S10e04479x437S20700501x458S15a40514x517S15a48474x516S22a04514x548S22a14473x546,føll
før,M535x526S2ff20476x483S15a00521x466S26604519x496,før
før,M536x541S32a10482x483S20e00522x495S15a00522x465S26604520x511,før
første klasse,M513x524S10030493x477S22f04488x510,første klasse
far,M540x516S15a26502x504S10e1e510x486S21100495x485S26602461x484S37706475x509,far
far ikke til,M514x521S15a06487x499S15a50494x494S2f900495x487S2f900495x480,far ikke til
g,M515x508S1f100486x493,g
gallaudet,M550x520S2ff00482x483S1dc21520x479S26504535x505S22104520x509,gallaudet
gammel,M551x541S30006482x483S10010507x511S21100526x494S22f04526x511,gammel
gammeldags,M544x518S32a10482x483S18210521x499S20600521x486,gammeldags
gange,M514x534S15a06487x480S10040487x485S20500496x466S26500490x519,gange
gange,M521x519S15a48479x492S10012491x501S20500490x484S26502503x482,gange
ganske,M553x531S36d00479x469S14c27527x471S2e230517x499,ganske
ganske,M549x558S34100482x483S2f900503x495S2f900487x495S14c27523x499S2e230513x526,ganske
ganske,M548x558S2e230512x526S2f900502x495S2f900486x495S14c27522x499S33e00482x483,ganske
garve,M530x519S15a02471x499S15a58480x492S21200502x498S26a00503x481,garve
gass,M518x518S2ff00482x483S15300494x487,gass
parasitt,M572x550S32c00482x483S15a12538x518S13f17549x520S20800547x505S2f900547x499,parasitt
parasitt,M520x523S15a50481x478S11552490x481S20500496x505S2f900495x518,parasitt
parasitt,M537x514S15a50463x487S14c52471x489S21100506x494S26506522x494S22104521x487,parasitt
parasitt,M518x521S15a50483x480S13f10489x491S20800493x511,parasitt
park,M540x535S14c10461x466S37700472x497S15a1a463x523S26726498x509S2e230509x473,park
parre,M520x522S11850480x481S11858497x478S20600488x511,parre
partikkel,M540x522S17710488x483S1000a461x490S20700478x507S2c300514x479,partikkel
partikler,M546x522S17710481x483S1000a454x490S20700471x507S2c400506x478,partikler
partikler,M518x605S36000482x483S15a40495x543S15a36489x577S20f00491x577S26a04490x591,partikler
partner,M519x518S1f510504x482S1f514482x482S2e742488x502,partner
pascal,M512x534S14c20489x467S29904495x502,pascal
pasient,M528x526S37806473x501S14c0b501x500S1ed52482x475S20800486x506,pasient
passiv,M534x524S26524493x490S14c04511x493S14c0c467x493S2f800482x476,passiv
patte,M518x529S33b00482x483S1f510493x514,patte
peis,M539x524S15a19462x480S14c30478x493S29606505x495S22520506x477,peis
pels,M530x530S37806470x522S15a1a502x518S14c13482x495S20e00506x486S22a07517x474S22104505x471,pels
pen,M533x549S30003482x483S30005482x483S21100519x502S21100469x503S22a05479x515S22a03509x514S1851e499x524S22107468x528S22101524x527,pen
penger,M523x515S21100477x494S1f400494x500S22100477x485,penger
penger,M522x520S1eb06479x496S21100507x485S22104507x501S37b06505x510S37b06506x480,penger
penger penger penger,M523x520S1eb06477x496S21100505x485S37b06504x480S37b06503x510S22124501x501,penger penger penger
penger penger penger,M527x515S1f400498x500S21100483x494S22100491x485S22100474x486,penger penger penger
penger under bordet,M524x529S15a1a479x490S26700477x472S26700492x472S1851c499x514,penger under bordet
penis,M508x515S10150492x485,penis
penis,M508x515S1c750492x485,penis
per,M526x518S15a06499x506S37706474x511S13d12483x482,per
perfekt,M538x528S1ce18463x473S26c08502x513S26c18470x511S1ce10516x474,perfekt
periode,M542x514S15a10477x487S15a18459x487S26706500x495,periode
arrestere,M521x521S36d00479x479S20800459x502S16c41467x488S37809471x481S2f900457x516,arrestere
periode,M540x523S15a10480x477S15a18461x477S26706498x479S26702497x490S2f804500x512,periode
perioder,M555x517S15a40464x484S15a48446x484S26606481x484S26606515x484S22a04507x502S22a04542x502,perioder
perioder,M526x535S26602475x491S26602475x471S26606496x482S26606496x465S1ed16490x509,perioder
periodisk system,M540x568S15a10480x436S15a18462x436S26706498x449S26706498x432S15a18461x499S15a18461x541S10e02474x507S10e22474x549,periodisk system
persille,M517x536S20300486x521S16d12483x499S22a00487x482S22a00487x465S22100505x469S22100505x484,persille
person tegn,M510x522S1ed46491x478S22a04492x507,person tegn
pervers,M541x570S28a03485x441S28a1b484x441S10001520x431S10009459x433S20500498x557S26502511x555S26516481x556S15a50509x523S15a50487x523,pervers
perversitet,M541x570S28a03485x441S28a1b484x441S10001520x431S10009459x433S20500498x557S26502511x555S26516481x556S15a50509x523S15a50487x523,perversitet
pessar,M522x520S15316479x505S1771a484x481S22a00509x502S20800511x488,pessar
petting,M514x530S15a06487x492S15a00494x470S21200486x497S23108488x513,petting
piggsvin,M520x520S1711a498x498S14c01481x493S26506505x480,piggsvin
pike,M530x517S36d00479x484S18210507x499S20500507x506,pike
pike,M525x523S36d00479x478S20500502x496S15d5e498x504,pike
pille,M514x527S15a36487x515S19203488x494S2ef05491x473,pille
pinnsvin,M522x516S1711a494x499S14c01479x489S26506507x485,pinnsvin
pinsett,M522x520S1f111479x497S22a07509x483S22104498x480,pinsett
pirquet,M521x533S36d00479x468S37800479x469S37706481x499S10013488x475S21200478x503S26a04479x519,pirquet
plan,M530x514S15a36483x492S20e00485x492S26606500x490S15a58471x487,plan
planet,M532x535S36d00479x531S25f00516x484S17610516x465,planet
planet,M525x531S17600476x503S20302510x496S2b700504x469S2c605500x505,planet
plante,M514x530S15a06487x490S22b00491x478S1771e491x510S22100493x470,plante
plante,M519x525S15a06481x501S14c00481x476S22a00487x510S22100507x512,plante
plante,M536x516S17712465x496S26606494x485S22a04492x500S22a04523x499,plante
plante eter,M564x569S26626481x385S22a00455x383S22a10428x383S22a10522x383S22a00550x383S17736427x403S17736521x402S1773e549x402S1773e454x403S22100550x375S22100523x375S22100455x376S22100429x376S33b00482x488S30104482x477S22f00489x537S22114488x528S1535a489x554,plante eter
planter som vokser,M564x569S26626481x385S22a00455x383S22a10428x383S22a10522x383S22a00550x383S17736427x403S17736521x402S1773e549x402S1773e454x403S22100550x375S22100523x375S22100455x376S22100429x376S33b00482x488S30104482x477S22f00489x537S22114488x528S1535a489x554,planter som vokser
plast,M564x516S17714478x494S1771c501x494S2fb00493x484S2c405525x491S2c414436x492,plast
plog,M526x529S15a41503x506S15a49474x506S26620492x471,plog
plog,M525x535S20500495x499S26620492x466S15a41502x512S15a49475x512,plog
plombere,M540x538S36100482x483S1f510508x523S22a00527x522,plombere
plomme,M546x523S17717482x497S1000b455x479S20700486x477S2c400506x500,plomme
plukke,M519x517S1533e482x484S22a04489x502S22104507x501,plukke
plukke,M518x517S1534a483x502S22a00489x484S22100506x491,plukke
plutselig,M548x524S37600488x491S1eb41467x478S1eb49507x477S26612452x498S26606518x498S2f710496x517,plutselig
pløye,M514x538S21100495x492S15a40496x511S15a36487x478S26600493x462,pløye
pnuematikk,M550x532S15a16487x418S20312492x401S2f900495x395S2ff00482x483S15a02521x503S26a04523x518,pnuematikk
polarsirkelen,M541x552S20500505x448S17150515x457S17158488x457S2a210480x481S2a208518x481S2d608503x513S10041491x522S10049460x519,polarsirkelen
polere,M518x516S15a00482x485S20320488x501S21100505x502,polere
politikk,M533x586S20312492x415S20316492x436S20312492x485S20316492x504S20312493x552S20316493x571S37706506x421S37706467x443S37706507x511S37706468x492S37706508x558S37706468x578S20500509x427S20500480x498S20500512x564,politikk
politisk,M533x552S20312493x448S20316493x469S20312493x518S20316493x537S20500510x460S20500481x531S37706507x454S37706468x476S37706508x544S37706469x525,politisk
polspenning,M544x533S10017514x468S1001f457x469S11810517x506S11818470x505S2f900519x499S2f900472x498,polspenning
polygami,M520x521S1851c486x506S26607498x480S22100480x498,polygami
populasjon,M539x514S26706497x486S23404493x500S15a50462x486,populasjon
populasjon,M523x547S2ff00482x483S15a20509x485S21100509x515S22a04510x532,populasjon
populasjon,M545x524S2ff00482x483S21100505x504S26602473x503S18210522x509,populasjon
pornografi,M521x633S2ff00480x482S2e300486x485S20310491x519S36d00479x572S20324482x582S29904484x601,pornografi
pornografisk,M521x633S2ff00480x482S2e300486x485S20310491x519S36d00479x572S20324482x582S29904484x601,pornografisk
porselen,M531x521S15a00470x480S10601486x493S20c00503x487,porselen
porsgrunn,M521x525S36d00479x476S20500483x487S20500509x487S15300480x500,porsgrunn
postering,M540x520S1f417460x490S2920a471x481S2920a509x482,postering
potens,M515x518S10112485x502S22a00489x483,potens
potensial,M512x511S18210489x496S2f900494x489,potensial
potensialforskjell,M531x563S18210495x460S18218473x444S2f900500x453S2f900479x437S18218470x546S1ed10505x544,potensialforskjell
potensiell,M514x534S15a02487x498S10000489x504S22b00495x466,potensiell
potensiell,M554x518S30007482x483S10002517x487S28109532x455,potensiell
potensiell ,M512x511S18210489x496S2f900495x489,potensiell
poteter,M532x516S15319509x493S2c411468x485,poteter
poteter,M548x515S15319493x492S2c414453x485S1f550524x494,poteter
prege,M525x523S11551498x497S11559475x498S20710483x478,prege
prest,M521x527S36d00479x473S21100483x482S11501483x500S28806497x490,prest
primærspole,M578x520S1f502423x496S20e00425x482S10041439x488S10012548x487S1001a499x494S2f000518x481,primærspole
prinsipp,M523x515S15a18477x488S10002493x499S20600491x485,prinsipp
profesjonell,M527x527S36d00479x474S18502504x483S21100513x497S22f04502x513,profesjonell
professor,M550x544S30007481x482S20500514x478S1eb10526x478S36d00479x526S20500506x533,professor
professor,M539x540S30007481x482S18210516x485S20500517x471S22a04524x503S36d00479x522S20500514x529,professor
professor,M548x536S30004482x483S16d02503x519S16d0a479x519S2c607525x505S2c612454x506S21600527x528S21600467x528,professor
progredierende,M528x532S26720491x469S22a04510x468S22a04510x482S22a04511x498S22a14476x468S22a14476x483S22a14476x500S18240504x516S18248472x517,progredierende
progredierende,M531x535S18240507x520S18248470x520S26520494x501S26520494x484S26520494x466,progredierende
progredierende,M531x543S18240507x528S18248470x528S26520494x509S26520494x483S26520494x458S2f900496x502S2f900496x476,progredierende
progredierende,M529x547S18240505x532S18248472x532S2b720488x504S2b720486x478S2b720484x453,progredierende
progressiv,M529x533S18240505x518S18248472x518S26720493x471S22a04512x470S22a04512x486S22a04512x501S22a14476x468S22a14476x484S22a14476x500,progressiv
progressiv,M528x534S18240504x519S18248472x519S26520493x501S26520493x484S26520493x466,progressiv
progressiv,M531x543S18240507x528S18248470x528S26520494x509S26520494x483S26520494x458S2f900496x502S2f900496x476,progressiv
progressiv,M529x547S18240505x532S18248472x532S2b720488x504S2b720486x478S2b720484x453,progressiv
projisere,M516x545S14c20485x456S26600489x491S17727488x526S21b00508x500,projisere
projeksjon,M516x545S14c20485x456S26600489x491S17727488x526S21b00508x500,projeksjon
promille,M529x524S17610500x476S22b03476x492S22a06502x509S2f900486x482S2f900471x519S2f900518x513,promille
prosdyre,M542x521S28804505x499S2881c482x498S14c01516x480S14c09458x480,prosdyre
prosent,M527x528S2f900507x491S2f900474x523S17610511x473S22b03483x496,prosent
prosjektør,M516x545S14c20485x456S26600489x491S17727488x526S21b00508x500,prosjektør
prostata,M524x624S36d00480x377S36d00480x425S22a04496x407S15316490x390S22104512x412S36d00480x448S1f116495x473S22a04497x506S36d00479x598S36d00480x544S10010491x594S2ef05495x572,prostata
prostata,M523x573S36d00479x428S36d00479x476S22a04495x458S15316489x441S22104511x463S36d00479x499S2ef05491x521S10010489x543S36d00480x547,prostata
ptotein,M526x516S37703474x493S3770b495x494S2f900487x497S20301505x485,ptotein
protein,M531x519S37703485x496S3770b506x497S2f900501x490S20301470x481S20800503x497S16d10514x494,protein
protein,M562x547S17117502x464S1711f484x464S20500496x487S20500495x453S18514474x530S1851c503x530S26612439x529S26606532x531S21100539x520S21100452x519,protein
protese,M533x554S33b00482x483S22a00510x519S1f210503x536,protese
proton,M537x534S19219464x484S15a18471x507S20500485x517S19f12514x466S29f0c489x477,proton
proverse,M520x521S10641481x479S26a05499x500S2f900508x490,proverse
proverse,M521x528S10040506x498S10048480x498S2f900496x488S26a20488x472,proverse
proverse,M521x526S20f00480x490S26a00480x474S2f900510x486S20312502x498S20356485x511,proverse
proverse,M529x517S15302502x484S1530a474x484S21200487x503S22104517x507S22104472x508,proverse
proverse,M534x524S14c00507x493S14c08471x493S22520502x477S22520466x477,proverse
prøve,M514x526S15a36487x490S10e30491x496S20b00492x474,prøve
prøve,M574x535S33200482x483S10e00522x505S20e00544x501S20e00562x501S22104544x515S22104562x515,prøve
prøve,M576x531S22104564x511S10e00524x501S20e00546x497S20e00564x497S22104546x511S30006482x483,prøve
prøve,M550x536S32400482x483S10e00528x506S26a00523x489,prøve
psuedokode,M547x521S15a18472x400S10020488x398S20500481x431S2c400507x406S2ff00482x483S28902495x500S16d10529x501S22104502x491,psuedokode
psuedokode,M547x531S15a18472x400S10020488x398S20500481x431S2c400507x406S2ff00482x483S28902495x500S16d10529x501S17610480x515,psuedokode
psyke,M540x518S30007482x483S10011519x483,psyke
psykiatre,M564x552S30007481x449S10011518x451S30007483x517S20500520x515S26502533x513S15a10552x506,psykiatre
psykiatrisk,M564x552S30007481x449S10011518x451S30007483x517S20500520x515S26502533x513S15a10552x506,psykiatrisk
psykisk,M541x518S30007482x483S10011520x485,psykisk
oksygengass,M526x525S17610474x475S2df04489x488S11500511x495,oksygengass
oktett regel,M519x543S11e00490x458S15a12482x505S15a20490x512S20602509x519,oktett regel
psykisk utviklingshemmet,M544x668S30007482x483S10011523x485S15a02487x580S15a02497x595S2b900501x565S15a02488x637S15a02504x637S26a24495x654,psykisk utviklingshemmet
psykisk utviklingshemmet,M544x688S30007482x483S10011523x485S15a02487x580S15a02497x595S2b900501x565S15a40502x661S15a02492x634S20c00493x647,psykisk utviklingshemmet
psykoanalyse,M547x618S30007482x483S10011518x488S20600510x473S11513520x552S1151b471x553S22125514x546S22123489x546S26a12484x586S26a06517x586S2fb04500x612,psykoanalyse
olje,M524x516S1dc01501x484S28803476x496,olje
psykologi,M541x630S30007482x483S10011520x486S14c40491x599S14c0a459x559S26500496x580S20700495x563,psykologi
psykologisk,M541x630S30007482x483S10011520x486S14c40491x599S14c0a459x559S26500496x580S20700495x563,psykologisk
pubertet,M521x583S36d00479x417S14010484x425S21100499x456S22a04499x472S22a00497x552S15a12489x537S15a12488x571,pubertet
pudder,M517x517S16d25497x484S22f03484x496,pudder
puddre,M516x517S16d25496x484S22f03484x496,puddre
pulserende likestrøm,M532x590S10042496x432S1004a469x439S23600493x411S10050504x494S10058486x494S20600491x482S11810505x563S11818485x562S20600492x549,pulserende likestrøm
pulver,M536x524S18514470x490S1851c504x490S21100505x477S21100481x478S26606506x508S26612464x508,pulver
pumpe,M513x517S20350494x484S22f04488x503,pumpe
pungen,M517x527S10011491x497S28806495x490S1011a484x473,pungen
omkrets,M526x532S10012496x496S10018490x502S2e30e475x469,omkrets
område,M529x531S10004503x469S1000c483x469S20500495x502S20500495x520S2d506509x506S2d51e471x505,område
oppdage,M542x525S31400482x483S22100523x483S1f417521x495,oppdage
oppdrift,M514x530S20316491x515S15a1a487x503S22b20492x470,oppdrift
opplysning,M546x518S30007482x483S22a07514x474S22100502x466S1dc20522x443,opplysning
opplønsning,M570x516S17650504x490S17650483x490S26512461x491S26506526x491S14c04547x484S14c0c431x485,opplønsning
opplønsning,M590x516S17714478x497S1771c501x497S26612444x497S26606525x497S20e00531x484S20e00458x486S14c46559x492S14c4e410x492,opplønsning
oppmerksom,M539x518S31400482x483S1f410510x493S22100516x479,oppmerksom
oppmerksomhet,M539x518S31400482x483S1f410510x493S22100516x480,oppmerksomhet
oppvarming,M531x518S15a1e504x441S22a00513x424S2ff00482x483S15002462x481S26606497x486,oppvarming
orksan,M521x528S20310489x477S20318471x472S36d00479x509S28925483x503S2f900483x495,orksan
orkan,M521x528S20310489x477S20318471x472S36d00479x509S28925483x503S2f900483x495,orkan
oscilloskop,M529x520S10050489x490S1ec18471x481S2920a498x481,oscilloskop
overflate hinne,M566x540S15a50481x460S2ea36497x464S1d410504x512S1d418467x512S26612435x521S26606536x521,overflate hinne
overflate spenning,M540x548S15a50461x452S15a50467x457S15a50464x521S15a50516x521S26706498x464S20e00482x466S2f900516x512S2f900464x511,overflate spenning
overgangs ,M537x514S15a40487x487S15a48464x487S26606507x495,overgangs
oversikt,M554x526S10e50524x485S32104482x483S22b04538x496,oversikt
oversvømmelse,M563x530S14c57512x497S14c5f469x503S28309535x471S28311438x471,oversvømmelse
ozon,M534x527S17610467x474S2df04481x490S11e00511x497,ozon
pang,M552x518S33000476x483S17710532x492S17718447x492S22100523x481S22100465x481S2f710524x470S2f710465x470,pang
par,M523x523S1ec52478x477S10e08483x493S20700505x488S22100509x478,par
paralell,M517x526S10010502x496S10018484x496S26620492x475,paralell
paralellkobling,M522x554S10010501x469S10018483x469S10a10504x528S10a18480x528S26620492x447S20500495x513S26502507x511S26516478x512,paralellkobling
partikkel,M542x519S17710488x481S1000a459x489S20700480x504S2c300516x483,partikkel
partikler,M546x518S17710483x482S1000a454x490S20700475x503S2c400506x483,partikler
passiv,M534x523S2fa00495x478S26524493x491S14c04511x492S14c0c466x492,passiv
periode,M534x514S15a10485x487S15a18467x487S26606504x495,periode
pusse tenner,M571x532S33b00482x483S1ea10528x504S26a02557x505,pusse tenner
periode,M535x514S15a40485x487S15a48466x487S26606505x495,periode
puste,M531x607S33600475x433S33500477x533S14c00487x474S20500517x474S26500515x489S14c00490x574S26504517x576S20500519x596,puste
periode,M540x516S15a40480x485S15a48460x485S26606497x491S22a04527x501,periode
puste,M563x525S36d00479x476S15a02490x494S26600533x479S26604547x479S20500536x514S20500550x514,puste
pute,M529x534S2ff00482x483S20500495x501S2f802472x481S2f806518x481S15a22490x522,pute
perioder,M564x518S15a40458x482S15a48437x482S22a04506x501S22a04551x503S26606476x491S26606521x492,perioder
pyroman,M524x577S1eb10494x450S10019474x455S21100500x435S21100495x563S26507511x422S36d00479x523S14c01488x536,pyroman
pyroman,M524x610S1eb10493x421S10019474x429S21100500x405S21100495x526S26507511x391S36d00479x489S14c01488x497S1ed26495x564S22a04497x595,pyroman
pyromani,M524x610S1eb10493x421S10019474x429S21100500x405S21100495x526S26507511x391S36d00479x489S14c01488x497S1ed26495x564S22a04497x595,pyromani
pære,M525x536S1ed16481x495S1000c476x464S22b04509x497S22100511x487S22104511x529,pære
mitokondrie,M546x513S14c02498x487S14c0a471x490S2881c454x490S28804534x489,mitokondrie
bølgelengde,M508x519S10e24493x481S2f900495x514,bølgelengde
kraft,M545x541S20300530x501S37700537x516S2f900532x490S34c00482x483,kraft
asymptote,M556x542S1dc28445x512S1ee11474x505S1f411526x459S22b07505x485,asymptote
kromosom,M515x536S14020485x465S24e04494x506,kromosom
kromosomer,M535x533S14028465x469S24e1c465x502S14020504x468S24e04514x503,kromosomer
lykt,M514x536S17757492x517S26500497x496S15251487x464,lykt
gener,M565x565S1f110536x491S22a04528x507S22a04528x528S22a04528x550S2ff00482x483,gener
gen,M566x518S1f110537x491S2ff00482x483S2f900550x511,gen
gener,M516x525S2f900485x516S2f900485x499S2f900485x507S1f110487x476S22b04498x495,gener
pa tjukken,M570x528S32c30485x495S2ff00452x483S2fb04491x522S33010506x483S10a20544x493S2b700551x471,pa tjukken
arrest,M524x550S2ff00482x483S14c09479x510S14c01498x513S26520492x535,arrest
arrogant,M544x536S30100482x477S33110499x499S20e00523x513S10a10494x510S22f00519x501,arrogant
r,M514x516S15a36487x485S10640487x490,r
rabarbra,M538x526S1f140503x474S1f148466x474S26612462x493S26612462x509S26606508x493S26606508x510,rabarbra
rabatt,M514x529S15a06487x472S20e00493x472S22a04492x486S18227497x504,rabatt
radar,M546x529S36d00479x525S2e004521x501S14c37519x471,radar
radio,M535x528S2a310466x492S2a308512x492S17650515x473S17650470x473,radio
radio,M536x531S2a310465x495S2a308511x495S1e121504x469S1e129464x470,radio
