Gloss,Signwriting,modified
"tegnspråk, hakkete",M525x554S14c10501x461S14c18476x445S2f900481x530S2fc04488x543S2f900512x548S2f900479x485S2f900510x501S2e800510x510S2e84c479x493,"tegnspråk, hakkete"
flagg,M537x530S15a02462x482S16d48490x510S37902489x490S20a00514x512S27200497x469,flagg
"ja, ja",M524x511S20324476x488S23004499x493,"ja, ja"
buddhist,M527x611S15a10497x545S15a18483x545S20500492x576S36f04473x529S30104477x477S22a24490x596,buddhist
alfastråler,M515x542S26500488x504S14c50484x459S18311488x523,alfastråler
lettet,M524x610S37202476x528S33500476x482S15a12483x560S21100491x577S22a04491x595,lettet
lisy,M522x518S2ff02478x483S20311489x494,lisy
barometer,M519x543S15a36483x484S20350485x474S2f920487x458S10011482x513S2880a497x511,barometer
de eksitasjon med emmisjon,M538x534S19205462x511S14a10480x466S2880c489x489S26507525x491S14c57498x507,de eksitasjon med emmisjon
"tegnspråk, vanlig",M518x634S15a10501x547S15a18481x533S2ff00482x482S2e74c479x581S2fb04485x628S2e700499x592,"tegnspråk, vanlig"
gravid,M535x528S36d00479x473S14c04488x497S26500521x495,gravid
sverige,M532x534S17d11478x494S22f07507x466S37806468x520S2fb01488x468S15a1a505x516S20e00501x481S22105477x485S20800479x524,sverige
bane,M538x532S10041517x502S2d600462x468S26735490x476,bane
jernbanestasjon,M513x541S11030486x514S26600489x478S15a36486x459S20500491x460,jernbanestasjon
eventyr,M529x547S22a03482x533S10011508x502S20e00493x523S34700482x482,eventyr
smil,M518x517S31400482x482S33e00482x482,smil
besøk,M522x524S15a0a495x493S15a40498x497S21100479x505S2b701482x477,besøk
jente,M529x559S33e00482x482S18210506x541S20500504x548,jente
bjørner,M528x529S37700473x470S37803474x495S15011484x486S21100472x510S22f05507x508,bjørner
gammeldags,M552x543S32a10482x483S32d00482x483S20e00519x494S15a11529x501S28704517x511,gammeldags
areal,M516x522S2e80a484x507S14c51489x478,areal
grunnlag,M513x518S15a16486x506S15a12486x492S2f900496x482,grunnlag
avta,M580x539S10018471x509S10010510x508S22a03534x492S22a15448x493S22a03551x476S22a03567x461S22a15434x478S22a15419x462,avta
dere,M520x521S10041479x491S2d608491x479,dere
pave,M524x517S2ff20476x482S2e30e485x487S1ea51492x452S21100478x470,pave
parabel,M527x541S1dc28472x487S10040495x511S28806496x491S22b04490x459S22b00511x458,parabel
el spenning,M526x518S11810511x491S11818474x491S2f900476x482S2f900513x481,el spenning
de eksitasjon,M522x530S19205478x511S14a10500x469S2880c510x489,de eksitasjon
vil bestemt,M518x570S35000482x482S20c00488x557S15d02488x535,vil bestemt
linje,M540x513S15a48461x486S15a40479x486S26706498x490,linje
alge,M576x537S1f720494x463S14c50510x506S14c58465x505S22530514x491S22530448x490S22a04499x483S26706534x518S26712423x517,alge
histogram,M532x525S1dc28467x475S1f056515x496S22a04489x477S22a04505x478S22a04519x478,histogram
kube,M537x544S15a48465x470S15a42488x456S15a4a490x502S15a40522x470S22a14493x520S22a14464x502S22a04523x502S22a04495x473S2f900526x519S2f900497x490S2f900465x518S2f900493x539,kube
proton,M537x549S19205463x470S20500483x538S15a48470x504S14212485x504S2b700489x467S22a04486x485S14211507x451,proton
"bolle, stor, til venstre",M518x594S14c48398x537S14c40493x537S28a07464x565S28a1f420x565S32103482x482S33e00482x482,"bolle, stor, til venstre"
atmosfære,M566x673S33600440x484S14c00452x526S20500461x568S26504528x583S33500511x480S14c00523x525S20500530x566S26500460x585S17150525x613S17158502x614S17130528x652S17138505x653S28a14480x625S28a0c549x623,atmosfære
mange mange,M560x531S14c00513x470S14c08471x468S22a04515x515S22a04547x516S22a14476x514S22a14439x516S26506533x501S26512454x500,mange mange
heterozygot,M546x543S18110501x514S18118484x514S17615487x526S20700489x493S17617494x526S10059472x457S10051491x456S2d60a523x482S2d612455x483,heterozygot
sirkel,M536x530S10050499x500S10059464x500S20500491x483S2e402503x470,sirkel
arealvektor,M516x533S15d58483x489S10010492x503S20700498x467,arealvektor
tog,M508x540S11030492x513S26700492x460,tog
algebra,M575x550S15020527x469S22520523x450S26506560x474S36d00479x481S15a08510x517S1eb10524x525S2880c551x501S20500523x510S20500523x539,algebra
ta fra venstre,M540x511S14c02459x488S20302525x488S26506498x489,ta fra venstre
jukse,M531x551S2ff00482x482S20e00515x513S26900515x533S1f540493x520,jukse
"tegnspråk, hakkete",M530x556S14c10502x459S14c18480x443S2c614470x502S2b700511x507S2f900517x551S2b711472x489S2f900514x499S2f900475x479S2fc04491x540S2c605512x522S2f900477x531,"tegnspråk, hakkete"
nøyaktig,M528x591S15a36501x538S15a40505x545S21100486x555S26500483x534S2f804482x580S2f900486x573S35b04482x482S32d00482x482,nøyaktig
øke,M572x531S14c58472x500S14c50504x500S22a07532x496S22a07545x484S22a11455x497S22a07559x471S22a11428x468S22a11442x483,øke
din,M506x518S15a20494x481S2f900494x513,din
angrepslinje (for en kraft) ,M522x531S10050492x501S10058479x469S20500498x496S2f900511x498,angrepslinje
regn,M542x584S14c50518x508S14c58457x509S22b04522x545S22b14462x546S2ff00482x482S2fb04492x578,regn
linje,M542x512S10002458x497S26706500x488,linje
analyse,M533x536S11912508x480S1191a467x481S21800474x464S21800508x465S26a06513x507S26a12473x505S2fb04492x530,analyse
velkommen,M547x575S33e00482x483S14c30523x509S14c38453x509S26504527x558S26514459x557S2fb04491x569S31400482x482,velkommen
"tegnspråk, hakkete",M534x552S14c10502x466S14c18474x448S2f900479x530S2fc04488x541S2f900511x547S2f900480x487S2f900509x504S2e800509x512S2e84c478x495S2f900523x515S2f900523x534S2f900466x516S2f900466x500,"tegnspråk, hakkete"
døv,M529x524S33010479x482S11510514x494S20500518x473,døv
avhengig,M562x523S36a00482x477S20320526x508S26507547x489S2f900551x508,avhengig
døv,M530x526S33010479x483S11510515x496S20500519x475S36500479x482,døv
dyr,M525x529S1c512497x484S15a1a498x517S20500476x505S2f900475x498S26a02474x471,dyr
bra,M529x550S26500515x521S15a00494x523S34900482x482,bra
organisasjon,M550x542S18210527x527S18218451x526S22a02525x505S22a02515x489S22a02506x471S22a16460x508S22a16467x489S22a16477x471S2fb00492x458,organisasjon
omkrets av en sirkel,M536x536S10050499x494S10059464x494S20500491x477S2e402503x464S2f900463x521S2f900500x531,omkrets av en sirkel
identitet,M517x545S10018483x455S10010493x461S26620485x510S26624501x515S20500487x493,identitet
helg   fullskrift,M524x580S2ff00479x482S36d00479x522S37700476x524S37700522x526S15a02485x534S21100495x549S22a04494x565S37b03512x540,helg   fullskrift
indre,M519x525S16c18481x475S10041498x484S2f900506x520,indre
kurs,M533x517S26a04496x463S18501506x443S30000482x482,kurs
