id,term,signwriting,description,cue
136,eventyr,M529x547S22a03482x533S10011508x502S20e00493x523S34700482x482,med munnstilling for E,eventyr
137,smil,M518x517S31400482x482S33e00482x482,,smil
139,jente,M529x559S33e00482x482S18210506x541S20500504x548,,jente
139,pike,M529x559S33e00482x482S18210506x541S20500504x548,,pike
141,gammeldags,M552x543S32a10482x483S32d00482x483S20e00519x494S15a11529x501S28704517x511,,gammeldags
142,muslim,M530x602S37108471x528S18116486x573S30104483x477S37100480x528S22a14494x587S1811e487x565,tegnet sett i bruk av norske døve muslimer 2016,muslim
143,areal,M516x522S2e80a484x507S14c51489x478,,areal
144,grunnlag,M513x518S15a16486x506S15a12486x492S2f900496x482,,grunnlag
145,blad,M561x530S10019440x492S1eb10466x484S26806493x503S22104533x471S22100463x473S1ee10500x480S1eb10537x482S2f900442x525,,blad
147,bleie,M566x517S1ed40505x497S1ed48469x498S28a07536x484S28a1f435x485,,bleie
148,dere,M520x521S10041479x491S2d608491x479,,dere
149,pave,M524x517S2ff20476x482S2e30e485x487S1ea51492x452S21100478x470,leder for den katolske kirken,pave
150,parabel,M527x541S1dc28472x487S10040495x511S28806496x491S22b04490x459S22b00511x458,matematikk,parabel
154,linje,M540x513S15a48461x486S15a40479x486S26706498x490,tegn obeservert i matematikk. Viser ikke linjen som tynn,linje
155,alge,M576x537S1f720494x463S14c50510x506S14c58465x505S22530514x491S22530448x490S22a04499x483S26706534x518S26712423x517,"planter som lever i sjøen, ofte mikroskopiske",alge
158,proton,M537x549S19205463x470S20500483x538S15a48470x504S14212485x504S2b700489x467S22a04486x485S14211507x451,"fysikk: postivt ladet kjernepartikkel, atomfysikk",proton
163,sirkel,M536x530S10050499x500S10059464x500S20500491x483S2e402503x470,,sirkel
164,blekksprut,M536x534S14c53464x507S17711517x466S22f07492x486,,blekksprut
166,blinke,M527x524S17717502x505S22100500x492S15210474x477S22100515x493,flere blink,blinke
167,tog,M508x540S11030492x513S26700492x460,,tog
170,jukse,M531x551S2ff00482x482S20e00515x513S26900515x533S1f540493x520,,jukse
170,juks,M531x551S2ff00482x482S20e00515x513S26900515x533S1f540493x520,,juks
170,fuske,M531x551S2ff00482x482S20e00515x513S26900515x533S1f540493x520,,fuske
170,Fauske,M531x551S2ff00482x482S20e00515x513S26900515x533S1f540493x520,,fauske
173,vokse,M572x531S14c58472x500S14c50504x500S22a07532x496S22a07545x484S22a11455x497S22a07559x471S22a11428x468S22a11442x483,,vokse
174,din,M506x518S15a20494x481S2f900494x513,samsvarsbøyning: håndflaten mot den som eier,din
174,ditt,M506x518S15a20494x481S2f900494x513,samsvarsbøyning: håndflaten mot den som eier,ditt
176,regn,M542x584S14c50518x508S14c58457x509S22b04522x545S22b14462x546S2ff00482x482S2fb04492x578,middels regn - sip,regn
177,linje,M542x512S10002458x497S26706500x488,,linje
178,analyse,M533x536S11912508x480S1191a467x481S21800474x464S21800508x465S26a06513x507S26a12473x505S2fb04492x530,,analyse
179,velkommen,M547x575S33e00482x483S14c30523x509S14c38453x509S26504527x558S26514459x557S2fb04491x569S31400482x482,,velkommen
180,bli,M531x523S34800482x483S15a00517x496S26600515x461S20e00517x483,,bli
182,bli,M533x518S20e00519x478S15a00519x491S26600517x456S2ff00482x483,,bli
184,avhengig,M562x523S36a00482x477S20320526x508S26507547x489S2f900551x508,,avhengig
186,dyr,M525x529S1c512497x484S15a1a498x517S20500476x505S2f900475x498S26a02474x471,,dyr
187,bra,M529x550S26500515x521S15a00494x523S34900482x482,,bra
188,organisasjon,M550x542S18210527x527S18218451x526S22a02525x505S22a02515x489S22a02506x471S22a16460x508S22a16467x489S22a16477x471S2fb00492x458,,organisasjon
190,identitet,M517x545S10018483x455S10010493x461S26620485x510S26624501x515S20500487x493,,identitet
192,indre,M519x525S16c18481x475S10041498x484S2f900506x520,inni noe. Matematikk,indre
193,kurs,M533x517S26a04496x463S18501506x443S30000482x482,"lære meg. Eng.: course, teach myself",kurs
195,Berit,M539x549S30006482x482S22a04513x534S21100514x517S1f720519x494,,berit
196,atombombe,M551x576S1f720527x505S22a04533x527S14c50527x545S2f700515x531S34c00482x482,,atombombe
197,hoved,M508x512S1f540493x488,,hoved
197,viktig,M508x512S1f540493x488,,viktig
198,fin,M552x554S33e00482x483S1ce10530x513S2f900529x549,,fin
198,pen,M552x554S33e00482x483S1ce10530x513S2f900529x549,,pen
202,blid,M538x534S1001b461x490S10013508x491S33e00482x483S21100500x520S21100478x518S28807513x511S2881f458x510,,blid
203,CI,M521x533S2ff33479x482S11810496x506S20500492x493,høreapparat som er operert inn i sneglehuset i øret,ci
204,brekke,M527x528S20350479x473S20350502x473S20500495x494S2a208504x499S2a210474x500,,brekke
206,skole,M531x515S15a00486x484S15a00501x484S26a02517x488S26a16468x487,,skole
208,lengde,M554x518S10049446x488S10041474x487S26706496x482S2f900543x489,,lengde
209,ivrig,M552x598S33e00482x482S15a48488x546S15a40505x549S21100493x582S27100512x583S27114447x583,,ivrig
211,feil,M533x519S10040487x489S1004a467x492S22b04517x481S20e00506x483,,feil
213,W,M509x515S18620491x485,internasjonal 1-hånds,w
213,w,M509x515S18620491x485,internasjonal 1-hånds,w
218,dag,M527x526S15d0a476x506S15d02495x507S28909500x474S28911472x474S20e00494x501,,dag
219,kurve,M542x516S1dc28459x486S10041521x485S29a06480x485,,kurve
222,stolt,M569x523S33100482x488S2c300543x494S1f510523x498S30100482x477,,stolt
222,kry,M569x523S33100482x488S2c300543x494S1f510523x498S30100482x477,,kry
224,parallellogram,M547x538S15a11514x491S15a1f466x490S15a12483x474S15a1a489x516S2f900493x462S2f900493x533S2f900536x491S2f900453x506,matematikk,parallellogram
227,true,M513x530S20302487x490S2f900502x480S37700494x505S26500487x470,,true
228,beregne,M516x549S14c20488x467S15a06486x514S22520484x451S20e00492x500S22b04490x519,,beregne
230,blomst,M518x565S17716493x545S22a00494x528S22100506x540S33100482x483,,blomst
231,jeg,M520x517S20500479x506S10043490x483,standard internasjonal skrivemåte,jeg
232,parallellogram,M552x548S10058471x518S10050494x517S20500458x456S22c15449x471S22c06476x453S22c02486x487S22c05519x466,matematikk,parallellogram
236,hund,M542x530S36d00480x470S36d00477x511S15a1c530x503S20600503x497,,hund
237,hus,M535x532S23904515x502S2391c466x498S20500495x468S15c13502x479S15c15481x480,,hus
239,analyse,M533x517S11912508x499S1191a467x500S21800474x483S21800508x484,,analyse
240,akse,M512x531S10010493x469S2e100489x502,retningen for tegnet tilpasses,akse
243,kanskje,M509x531S2e234490x499S1f540493x468,"Eng.: maybe, perhaps",kanskje
250,spise,M525x539S33b00482x482S1eb30501x520S20600472x521,,spise
254,person,M509x532S1ec26490x469S22b04490x502,"kan brukes som tillegg til et verb-tegn for å gjøre det til et substantiv med person (kjøre -> sjåfør, skuespill -> skuespiller)",person
256,energi,M529x525S20302507x510S2030a479x510S2a600512x475S2a611471x474S2f900479x499S2f900510x499,begrep i fysikk,energi
258,voksen,M535x517S2ff00482x482S15a50523x478S2f900523x509,,voksen
260,bo,M533x526S15a17510x503S30908482x479,,bo
264,regel,M517x523S15a08490x496S15a52482x476S20500507x495S20500507x512,"hvordan ting skal være, Eng.: by-laws, rules",regel
266,skip,M524x529S15b21501x506S15b29477x506S26620494x472,,skip
267,jul,M558x533S10019479x466S10011504x466S2940b521x494S29413443x493,tegnet viser et juletre,jul
269,tall,M535x540S11e09470x494S20e00499x499S20e00491x482S20e00466x483S10041497x510S28808472x462S2950b496x460S2950b510x485,skrevet mer fullstendig,tall
269,telle,M535x540S11e09470x494S20e00499x499S20e00491x482S20e00466x483S10041497x510S28808472x462S2950b496x460S2950b510x485,skrevet mer fullstendig,telle
270,arbeid,M526x517S20310483x483S20318475x501S20c00498x504,,arbeid
270,arbeide,M526x517S20310483x483S20318475x501S20c00498x504,,arbeide
270,jobb,M526x517S20310483x483S20318475x501S20c00498x504,,jobb
270,jobbe,M526x517S20310483x483S20318475x501S20c00498x504,,jobbe
271,bruke,M539x527S11540524x475S11548461x473S22a00526x512S22a10461x509,,bruke
272,aluminium,M553x517S15d0a477x498S15d22472x489S20700446x500S1dc20529x483,kjemisk symbol A l,aluminium
273,lengde,M552x513S15a48449x486S15a40472x486S26706494x493S2f900541x500,,lengde
277,absolutt,M518x517S20300488x482S20304483x502S20b00505x496,,absolutt
280,melke,M526x535S20340511x517S20348474x520S21600478x506S21600513x502S22a04510x482S22a14476x487S2fd00485x465,,melke
281,lik,M517x523S10058482x493S10050502x493S20500493x477,"to ting, to tall, to størrelser som er like. Vanlig tegn",lik
282,bryte,M527x528S20350481x473S20350504x473S20500495x494S2a208504x499S2a210474x500,,bryte
282,brekke,M527x528S20350481x473S20350504x473S20500495x494S2a208504x499S2a210474x500,,brekke
283,god,M530x549S34400482x482S26500516x519S15d00496x522,,god
283,godt,M530x549S34400482x482S26500516x519S15d00496x522,,godt
284,aktivitet,M555x522S20302506x506S2030a475x507S2a600507x479S2a611475x478S2f900448x496S2f900544x495S2a600522x479S2a611460x478S2f700542x481S2f700445x482,,aktivitet
287,plog,M523x524S15b39476x501S15b31500x501S26520493x476,,plog
288,Trondheim,M543x521S30005482x482S20310518x506S20600521x491,,trondheim
293,terning,M529x530S15a37471x470S17130506x475S2a200489x477S2a530510x497,"spilleterning, kube",terning
297,her,M516x515S10004501x485S22500484x499,større bevegelser viser lengre tidsrom eller større område for 'her' og 'nå',her
299,kvadrat,M535x541S10058481x510S10050503x511S20500495x460S24402502x470S2441a466x469,firkant der alle sidene er like lange og alle hjørnene rette,kvadrat
300,redusere,M580x539S10048471x509S10040510x508S22a03534x492S22a15448x493S22a03551x476S22a03567x461S22a15434x478S22a15419x462,gjøre noe mindre eller lettere. Noe som blir mindre,redusere
301,diameter,M559x528S10051529x498S2f900538x492S20500472x493S10019455x498S2f900441x522S28f36483x495S28f02478x472S26706486x491,,diameter
302,buddhist,M557x534S1ce30535x466S1ce38445x468S2f804482x511S22b04540x502S22b14444x504,,buddhist
302,buddhisme,M557x534S1ce30535x466S1ce38445x468S2f804482x511S22b04540x502S22b14444x504,,buddhisme
304,heter,M539x551S30004482x482S11500489x521S20600517x516,,heter
307,Europa,M514x530S14a20491x470S2e408485x497,,europa
310,arbeid,M526x517S20310483x483S20318475x501S20c00498x504,"W = kraft * vei , energi",arbeid
314,Bergen,M543x518S34700482x483S1f511522x485S21100485x487S26506498x485,,bergen
317,sirkel,M519x530S10050482x500S2e402486x470,,sirkel
320,barn,M532x555S2ff00482x482S15a50520x513S2f900520x550,,barn
321,sentrum,M515x523S15a16488x511S1c512485x478,,sentrum
321,by,M515x523S15a16488x511S1c512485x478,,by
322,by,M514x526S1c512486x475S22a04493x511,,by
323,O,M508x508S17610492x492,"Håndalfabet. 
1-hånds O, internasjonal",o
325,stat,M514x525S15a16487x513S15352486x493S22a04494x475,"stat, staten, vanlig også i sammensetninger",stat
327,Stavanger,M534x519S31100482x482S20500484x483S20500506x484S10e10519x489,,stavanger
328,akse,M509x532S10000491x467S22b04493x502,,akse
329,eller,M541x532S1dc09491x502S20e00480x495S20e00510x487S10041520x502S26502460x494S26606492x468,,eller
333,stolt,M547x535S33200482x482S20e00527x495S2b701528x468S1f540526x511,,stolt
333,kry,M547x535S33200482x482S20e00527x495S2b701528x468S1f540526x511,,kry
334,nikke,M524x511S20324476x488S23004499x493,ja-ja,nikke
339,and,M530x539S33b00482x482S18521503x512S22100508x532,,and
341,hit,M553x566S33e00482x482S2b703509x525S10041532x536,"retning mot meg, vennlig. Eng: come here, friendly",hit
342,skrive,M526x518S15a16473x506S1eb12479x481S27b07501x487,"resultatet av skriving, system for skriving",skrive
343,glatt,M523x528S15a37476x496S15a51500x473S20e00491x516S26507503x502S2f700511x517,Eng.:slippery,glatt
344,tall,M526x529S11e09478x483S20e00507x488S20e00499x471S20e00474x472S10041505x499,,tall
344,telle,M526x529S11e09478x483S20e00507x488S20e00499x471S20e00474x472S10041505x499,,telle
347,jeg,M519x519S20500481x508S10043489x481,,jeg
348,rosa,M539x518S2ff00482x483S18202524x490S21100501x495,,rosa
349,tulipan,M513x532S18110501x485S18118488x485S20500494x468S20500495x521,,tulipan
352,spole,M540x508S10012460x492S2820a497x492,,spole
354,puste,M558x601S33600442x483S14c00456x531S20500463x569S26504524x581S33500510x481S14c00520x526S20500526x565S26500462x586,,puste
356,vektor,M524x521S1dc28475x479S10057477x491S20600502x505,"matematikk, fysikk",vektor
357,del,M522x522S15a39498x494S15a41478x478S26605500x500S21100478x502,,del
360,Dag,M542x528S15a02494x516S15a06479x516S28a11473x480S28a09499x480S15a00530x472S15a00459x472,guttenavn,dag
361,hunger,M535x591S15a0b470x567S22b14486x547S22b04503x547S21100486x528S21100507x528S15a03512x568S32c00482x482,,hunger
361,sulten,M535x591S15a0b470x567S22b14486x547S22b04503x547S21100486x528S21100507x528S15a03512x568S32c00482x482,,sulten
367,kontakt,M520x520S11810505x493S11818480x493S20500495x479,standard tegn,kontakt
368,parabel,M528x543S1dc28472x485S22b00511x456S28806496x489S22b04490x457S14240498x513,,parabel
372,nysgjerrig,M527x517S33100482x482S1ee10496x487S20e00515x474S26500513x452S1f410498x431,,nysgjerrig
373,lese,M516x515S15a00504x484S26a02484x488,bare håndens del av tegnet. Eng.: read,lese
375,tusen,M524x508S17610476x492S26506509x494,,tusen
380,Dag,M541x543S15a02493x531S15a06478x531S28a11472x495S28a09498x495S15a00529x487S15a00458x487S2ff00482x483,guttenavn,dag
383,Ampere,M541x528S15d0a464x482S15d22459x473S20700469x513S2f900525x518S1ed26522x484,symbol: A  Måle-enhet for elektrisk strømstyrke,ampere
385,skog,M539x540S15a16481x528S14c00480x460S37800490x494S37b0b492x514S2e230461x488S26626509x496,"skog, skogen",skog
388,her,M515x515S22600486x503S10004500x485,små bevegelser viser at det er nesten nøyaktig 'her' eller 'nå',her
390,demokrati,M550x514S26612451x496S15a50503x487S15a50486x487S26606520x496,,demokrati
392,stoff,M518x516S20e00501x489S22107509x483S1773e483x496,som i grunnstoff eller kjolestoff,stoff
395,barometer,M538x521S15a16462x509S20312464x494S2f920466x478S10011508x487S2880a516x479,,barometer
396,nettopp,M527x557S35b05475x482S32105475x482S20500516x530S10000497x527S37000474x516,"for et øyeblikk siden, for kort tid siden",nettopp
398,s,M507x507S20320492x492,"Håndalfabet, internasjonal 1-hånds",s
398,S,M507x507S20320492x492,"Håndalfabet, internasjonal 1-hånds",s
399,arv,M513x526S15030487x475S26504492x511,,arv
402,usikker,M518x591S14c50490x525S2e100491x562S35100482x482S31900482x482,,usikker
407,demonstrere,M559x533S15d07511x504S15d09441x510S2d618459x468S2d608521x488S2d608530x474S2d618446x488,,demonstrere
407,vise,M559x533S15d07511x504S15d09441x510S2d618459x468S2d608521x488S2d608530x474S2d618446x488,,vise
409,parallellogram,M560x540S10058501x510S10050519x510S20500476x460S23a05492x460S2411b441x461S24102521x483S23a1a471x488,matematikk,parallellogram
413,basis,M513x518S15a16486x506S15a12486x492S2f900496x482,,basis
413,grunnlag,M513x518S15a16486x506S15a12486x492S2f900496x482,,grunnlag
413,grunn,M513x518S15a16486x506S15a12486x492S2f900496x482,,grunn
416,mindre,M515x530S15a12485x492S15a16488x518S22a04494x470,,mindre
417,barn,M530x581S2ff00482x482S15a50518x540S2f900518x576,,barn
418,du,M507x520S10040492x480S2f900493x515,,du
419,periode,M543x523S15a40476x487S15a48457x487S20500469x476S26606496x494S2f900531x518S15a40531x488,"en bestemt 'legde' av tid, f.eks. tiden en pendel bruker frem og tilbake",periode
420,dersom,M583x515S26b00556x497S1f540534x486S36d00479x502,,dersom
422,anfall,M529x544S37154472x457S37104480x456S15000500x470S15008472x470S26504505x507S26514478x507S2f700492x537S2fb04491x526,,anfall
423,Signo,M513x529S17118487x509S17110496x497S22a20497x471,Stiftelsen Hjemmet for Døve m/ underavdelinger,signo
425,skrive,M531x521S15a16469x509S1eb11478x487S27b07506x478,,skrive
425,skriftlig,M531x521S15a16469x509S1eb11478x487S27b07506x478,,skriftlig
426,Sverre,M557x518S22f04530x487S21200529x471S15011503x480S2ff00482x483,,sverre
427,Sverre,M532x534S17d11478x494S22f07507x466S37806468x520S2fb01488x468S15a1a505x516S20e00501x481S22105477x485S20800479x524,,sverre
428,lese,M518x569S32104482x482S15a00506x539S26a02488x542,med øynenes del av tegnet,lese
429,hjem,M512x535S18219487x465S15a50495x508S26500494x484,,hjem
430,proton,M527x533S14212497x498S19209473x475S15a18479x500S20500495x522S2b700497x467S22a04495x489,,proton
432,linje,M526x520S10050474x490S26706484x480,,linje
433,olje,M524x515S1dc01501x485S28803476x491,,olje
433,bensin,M524x515S1dc01501x485S28803476x491,,bensin
435,sommer,M564x518S2ff00482x483S15d02537x485S21100488x490S26606502x490,,sommer
435,juli,M564x518S2ff00482x483S15d02537x485S21100488x490S26606502x490,,juli
438,adel,M575x522S36d00479x479S20e00504x507S15d40523x495S28808546x496S28808563x496,,adel
438,elegant,M575x522S36d00479x479S20e00504x507S15d40523x495S28808546x496S28808563x496,,elegant
